Product Title,Product URL,Date Scraped,Compressor brand,core components,type,application,Floor Heating Valve,Product name,pressure balance,Orifce type,Condition,dimension(l*w*h),Marketing Type,Capillary tube length,Model,Application,Connection size,After Warranty Service,Power supply,structure,Max. Working Pressure,Pressure environment,Superheat,Refrigerants,After-sale Service,work pressure,power(w),Product Name,Certification,Model Number,Product name:,Package,Capillary,Standard,Valve type,OEM,Single gross weight:,after-sales service provided,Port,brand name,Connection,Brand Name,Keyword,Supply Ability,Feature,Advantage,Packaging Details,media,Max. working pressure (PS),valve core capacity [TR],Warranty,key selling points,Working Temperature,Temperature,Pressure,Description,Power,Pressure  equaliser,PAYMENT,Local Service Location,Size,Direction,temperature of media,Temperature range [° C],Type,refrigerant,voltage,Single package size:,Voltage,model number,Color,Place of Origin,Shape,Brand,weight (kg),power,SHIPPING WAY,Loop,Temperature range [Min],Selling Units:,Drive method,Outlet size [in],warranty,Packing,Communication interface,video outgoing-inspection,Connection End,Project Solution Capability,Key Words,power source,Equalization connection type,Operating temperature,Design Style,Function,Length*width*height,customized support,Ambient temperature,place of origin,valve core capacity [kW],MOQ,Payment,Inlet size [in],Usage,Body material,Cooling Type,Material,Refrigerant,Max. Working Pressure [bar],Equalisation,Flow direction,Compressor type,Use for,Pressure equalization,machinery test report,Surface,Weight (KG),Name,Refrigerant gas,Temperature range [Max],Connection form,Applicable Industries,compressor brand,Outlet connection type
N/A,https://www.alibaba.com/product-detail/Sanhua-TXV-Stainless-Steel-Refrigeration-Cooler_1600529423026.html,2025-02-19 16:02:34,N/A,N/A,Valve,Refrigeration Parts,N/A,Thermostactic Expansion Valve,N/A,N/A,N/A,N/A,Ordinary Product,N/A,N/A,"Refrigeration Parts, Heat pump Parts",N/A,"Video technical support, Online support",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RFKH, RFGB, RFGD",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sanhua,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Standard or Customzised,N/A,N/A,N/A,Refrigerant part,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unavailable,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ten 2 068z3348 R134a Externally Equalised Ten2 Txv Thermostatic Expansion Valve for Hvac Refrigeration Cold Storage System,https://www.alibaba.com/product-detail/Ten-2-068z3348-R134a-Externally-Equalised_1601041429343.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19 16:03:43,N/A,N/A,Air Conditioning Fitting,Commercial,N/A,N/A,external balance,N/A,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Danfoss Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.500 kg,Return and Replacement,N/A,Danfoss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-50,N/A,N/A,N/A,20X20X20 cm,N/A,TGES9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,Gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,20,1 Set,N/A,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hotels, Food & Beverage Factory,restaurant",N/A,N/A
Supply Cold Storage Thermostatic Expansion Valves Thermal Electronic Automatic Expansion Valve,https://www.alibaba.com/product-detail/Supply-Cold-Storage-Thermostatic-Expansion-Valves_1600296355941.html,2025-02-19 16:03:54,N/A,N/A,Valve,Refrigeration Parts,N/A,Expansion valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,STANDARD PACKAGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TGEX10-4 Thermal expansion valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X5X5 cm,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Original Genuine Cold Storage Refrigeration Accessories Expansion Valve TCLE  5-1/2MC Cooler System,https://www.alibaba.com/product-detail/Original-Genuine-Cold-Storage-Refrigeration-Accessories_1600242979251.html,2025-02-19 16:04:03,N/A,N/A,N/A,General,N/A,Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Control,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pcoc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.600 kg,N/A,N/A,XB-1019 MC-1B,N/A,N/A,N/A,N/A,N/A,Fast Ship,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T/T,N/A,N/A,N/A,Normal Temperature,N/A,N/A,N/A,N/A,45X25X25 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hydraulic,N/A,N/A,N/A,Single item,N/A,N/A,N/A,Carton Box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OEM,N/A,ZHE,N/A,1 Piece,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Refrigeration Hvac System Accessories R404a/R507 Thermostatic Expansion Valve for Cold Storage TES2 068Z3403,https://www.alibaba.com/product-detail/Refrigeration-Hvac-System-Accessories-R404a-R507_1600553893915.html,2025-02-19 16:05:12,N/A,N/A,Valve,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1500mm,N/A,N/A,N/A,N/A,N/A,N/A,34 bar,N/A,N/A,R404a/R507a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,Neutral or OEM,N/A,N/A,N/A,N/A,N/A,N/A,"50pcs/ctn , 40*37*22cm, 16kg",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Angleway,N/A,N/A,N/A,N/A,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,0.32,N/A,N/A,N/A,-40 °C,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,1/4 in Flare,N/A,N/A,N/A,N/A,N/A,N/A,ZHE,N/A,N/A,N/A,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Externally equalized,Provided,N/A,N/A,N/A,N/A,10°C,N/A,N/A,N/A,1/2 in Flare
Cold Storage Expansion Valve 10TR Air Conditioning Refrigeration Thermostatic Expansion Valve,https://www.alibaba.com/product-detail/Cold-Storage-Expansion-Valve-10TR-Air_1601127976455.html,2025-02-19 16:06:17,N/A,N/A,Valve,Heater Parts,N/A,expansion valve for bus ac,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,high pressure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,International Standard,N/A,N/A,1.000 kg,N/A,N/A,For DANFOSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BALL VALVES,N/A,N/A,15X15X13 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,heat,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,high temperature,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Brass,10TR,N/A,N/A,one-way,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,welding/Solder,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Supply-Cold-Storage-Expansion-Valve-R22_11000017874080.html,2025-02-19 16:06:24,N/A,N/A,expansion valve,Refrigeration Parts,N/A,Danfoss Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thermostatic Expansion Valve with Fixed Orifice for Refrigeration Cooling System Cold Storage Room TEX2,https://www.alibaba.com/product-detail/Thermostatic-Expansion-Valve-with-Fixed-Orifice_1600983996555.html,2025-02-19 16:06:35,N/A,N/A,Valve,Refrigeration Parts,N/A,Thermal Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,TEX2,refrigeration system,10x12mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5m,N/A,N/A,N/A,1.500 kg,N/A,N/A,Famous,N/A,N/A,N/A,N/A,N/A,N/A,carton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,N/A,N/A,N/A,N/A,N/A,Straight Thru.,N/A,N/A,20X20X20 cm,N/A,N/A,N/A,N/A,N/A,famous,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Carton,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R22,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wholesale Price Can Replace Solenoid Valve Electronic Expansion Valve Electronic Ball Valve for Cold Storage,https://www.alibaba.com/product-detail/Wholesale-Price-Can-Replace-Solenoid-Valve_1600958480960.html,2025-02-19 16:06:44,N/A,N/A,Air Conditioning Fitting,Home,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,expansion valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.000 kg,"Onsite Installation, Return and Replacement, Field maintenance and repair service, Overseas Call Centers",N/A,pt,N/A,N/A,expansion valve,N/A,Easy Installation,N/A,box packing one big box has 2 small box each  small box is  200 pcs one big box is  400 pcs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43X36X42 cm,N/A,pt,yellow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,"Battery, Electric, Manual",N/A,N/A,N/A,Waterproof,N/A,N/A,N/A,"Anhui, China",N/A,100,N/A,N/A,replace four way valav,N/A,N/A,Copper + Aluminum,N/A,N/A,N/A,N/A,N/A,air conditjoner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thermostatic Expansion Valves TS2 for Storage Room Refrigeration Expansion Valves,https://www.alibaba.com/product-detail/Thermostatic-Expansion-Valves-TS2-for-Storage_1600559212199.html,2025-02-19 16:06:54,N/A,N/A,expansion valve,Use for condensing unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TS2,Refrigeration Parts,N/A,Online support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Guangzhou hangpu port,danfoss,N/A,N/A,N/A,5000 Piece/Pieces per   Month,N/A,N/A,1 set packing with one box,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Expansion Valve,N/A,N/A,N/A,N/A,N/A,Golden,N/A,N/A,Danfoss,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unavailable,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fin Tube Evaporative Condenser,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,stainless steel,"R22,R134,R404,R502,R407",N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
