Product Title,Product URL,Date Scraped,Compressor brand,Water absorption,Hanging force,Panel Density:,Effective Width,core components,Board surface,Grade,Surface material,Insulation material,Fireproof Grade,application,Polyurethane,size,Product name,dimension(l*w*h),Condition,Marketing Type,Application,After Warranty Service,Thermal Conductivity,Raw material,After-sales Service,Dimensional Stability,Sample,Foam insulation value,temperature Range,Warranty period,brand,Door type,Open Style,After-sale Service,After-sales Service Provided,Wind resistance,Processing Service,Warranty of core components,eco-friendly,Product Name,Model Number,Certification,Package,Cold room temperature,Surface Finishing,Opening Method,Keywords,Standard,Doors,Insulation density,Zinc Coating,Single gross weight:,Port,Surface Material,Length,Flame Retardant Rating,brand name,Connection,Features,Sandwich type,Door Type,Color steel thickness,Brand Name,Core material thickness,Keyword,Refrigerant:,Supply Ability,Feature,Metal thickness,Advantage,Applicable Industries,Packaging Details,Panel length,Plate thickness,Metal Sheet Thickness,density,Key words,Colors,Dimension(L*W*H),Metal Surface,OEM/ODM,Packging Detail,Panel Thickness,Warranty,Inside material,Industries,key selling points,Core material,Leading time,Panel width,Temperature,Door Material,Percentage Of Close Area,Panel thickness,Thermal conductivity,Thermal conductivity coefficient,Application:,Size,Thickness of Color Steel,STEEL THICKNESS,Application of Industry,Applicable,Metal plate,Compressor,Functions:,Cooling system,Property,Coating,Cooling approach:,Type,voltage,Single package size:,Origin,temperature,Product Type,Compressive strength,Density,model number,Condensing unit,panel thickness,Cold Room Panel Type,Color,Place of Origin,Product density,Shape,Brand,power,Thickness of panel,Application scenarios,Installation:,Connection System,Selling Units:,Core Material,Tolerance,warranty,feature,Thickness Of Wood Plates,Packing,video outgoing-inspection,Standard Width,Outside material,custom,Local Service Location,Project Solution Capability,Combustion performance,Panel Material,Water Absorption Rate,Weight,Effective Length,Thickness Of Steel Plate,RAL Color,Operating temperature,Surface board material,Dimension,Certification:,Certificate,Design Style,Function,Enterprise Nature,place of origin,Refrigerating unit:,Width,Fireproof,function,Usage,Fire Rating,Dry shrinkage rate,diameter,Water Absorption,Steel Thickness,Material,PU Density,Established,Compressor type,Hardness,Raw Material,Surface,machinery test report,Max Length,Weight (KG),Thickness of Panel,Steel thickness,Thickness of Pu Panel,Panel material,Effective width,Functions,Core density:,Delivery Time,cooling capacity,Metal sheet thickness,Bending strength,door type,Elongation At Break,Thickness,Plate Width,Showroom Location,length,Outer Steel Plate,compressor brand
N/A,https://www.alibaba.com/product-detail/Manufacturer-Price-100mm-Cold-Room-Pir_1601132983084.html,2025-02-19 15:08:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PIR sandwich refrigerator panel,N/A,N/A,N/A,Cold Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,YC-CR-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yichang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4mm~0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92X50X136 cm,N/A,N/A,N/A,N/A,35-50kg/m3,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1120mm,N/A,N/A,N/A,total solution for projects,N/A,Stainless Steel/ Color Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE ISO,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B1 Grade,N/A,N/A,N/A,N/A,Polyrethane/ Rock wool/ Polyisocyanurate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Coolroom-Panels-Polyurethane-Core-Material-Structural_1601046162660.html?s=p,2025-02-19 15:08:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel or Color steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts",N/A,N/A,N/A,N/A,N/A,N/A,Cam Lock Cold Room Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shunwei,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime,N/A,N/A,N/A,Core material,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45X30X30 cm,N/A,N/A,N/A,N/A,40-45kg/m3,N/A,N/A,N/A,N/A,Customer's Require,"Hainan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,960mm or Customized,B1 /B2 Grade OPTIONAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wanhua,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Fireproof-Pir-Pu-EPS-Prepainted-Metal_1600983006475.html,2025-02-19 15:08:50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,siding Facade sandwich panels for workshop,N/A,N/A,N/A,"Roof, Exterior Wall, prefab house, cold room, Hotel, Villa, Apartment, Office Building, Hospital, School, Mall, Sports Venues, Leisure Facilities, supermarket, Warehouse, Workshop, Park, Farmhouse, Courtyard, outdoor, Storage & Closet, Exterior, Cold Storage Room, outdoor,workshop,clean room,warehouse",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Free spare parts",N/A,N/A,N/A,N/A,Sustainable,N/A,liaohe1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.500 kg,N/A,N/A,1200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,liaohe,N/A,EPS PU wall panels Cold Room sandwich panels,N/A,N/A,"water resistant, Fire Resistant",N/A,Easy Install INSULATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Insulation Board,N/A,30X20X10 cm,N/A,N/A,N/A,N/A,30-150kg/m3,N/A,N/A,N/A,N/A,Required white or biue GREY and so on,"Shandong, China",N/A,N/A,N/A,N/A,N/A,"workshop,clean room,outdoor,Cold Storage Room,farmhouse,warehouse",N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,1000mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanzied prepainted sheet metal with 50mm injected polyurethane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40/50/75/100mm/150mm/200mm,N/A,N/A,N/A,N/A,N/A
Storage of Dairy Products Cold Storage Plate Factory Price Product Customization Pur Pu Sandwich Panels for Cold Room,https://www.alibaba.com/product-detail/Storage-Of-Dairy-Products-Cold-Storage_1600691679863.html?s=p,2025-02-19 15:09:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts",N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,0-19m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shunwei,N/A,Pu Sandwich Panel,N/A,N/A,Fire Resistant,N/A,Heat Insulaton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3-0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XX cm,N/A,N/A,N/A,≥150or200,40-45kg/m3,N/A,N/A,N/A,N/A,RAL Color,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,950mm/1000mm/1150mm,B1 level,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Steel/stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/50mm-75mm-100mm-120mm-150mm-200mm_1600872947108.html?s=p,2025-02-19 15:10:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel,N/A,N/A,N/A,"Villa, Hotel; warehouse; workshop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Onsite Inspection",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1-11.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,water resistant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,"pu,eps,rockwool,glasswool",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6-20kg/m3,N/A,N/A,N/A,N/A,RAL Color,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
PU Sandwich Panels Polyurethane Foam Cold Room Storage Warehouse Insulation Sandwich Panels Boards,https://www.alibaba.com/product-detail/PU-Sandwich-Panels-Polyurethane-Foam-Cold_1600976890480.html,2025-02-19 15:10:24,N/A,<0.3kg/m³,N/A,N/A,N/A,Other,colour steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane cold storage insulation board,Custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bingquan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.3mm,0.4mm,0.5mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Service Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.022w/n°C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,>0.2mpa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40-45kg/m³,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,Container,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,>0.25mpa,N/A,N/A,"100mm,150mm,200mm",N/A,N/A,N/A,N/A,Other
China Manufacture Heat Insulation Galvanized Polyurethane PU Sandwich Roof Panels for Cold Storage,https://www.alibaba.com/product-detail/China-Manufacture-Heat-Insulation-Galvanized-Polyurethane_1601253514764.html?s=p,2025-02-19 15:10:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel,N/A,N/A,N/A,"Villa, Hotel; warehouse; workshop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Other",N/A,N/A,N/A,N/A,N/A,N/A,W1130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1-11.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BS,N/A,N/A,N/A,N/A,Fire Resistant,N/A,Fireproof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,"pu,eps,glasswool",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6-20kg/m3,N/A,N/A,N/A,N/A,RAL Color,"Liaoning, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Others",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Construction Insulation,N/A,N/A,N/A,N/A,N/A,Core Material+ Color Steel Sheet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Cam-Lock-Panels-PU-Sandwich-Panel_1600239935181.html,2025-02-19 15:10:47,N/A,N/A,N/A,N/A,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.100 kg,N/A,N/A,N/A,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Insulation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,one year,Polyurethane or rock wool,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220 /380 /400V,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,BP-003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,Color steel or stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,cold room / cold storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland
Walk in Cooler Panels Insulated Sandwich Panels,https://www.alibaba.com/product-detail/Walk-In-Cooler-Panels-Insulated-Sandwich_1600668134600.html?s=p,2025-02-19 15:11:02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,color steel or stainless steel or aluminum,N/A,N/A,N/A,N/A,customized,Walk in Cooler Panels Insulated Sandwich Panels,N/A,new,N/A,supermarket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Return and Replacement",Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,pu panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.000 kg,shanghai port for Walk in Cooler Panels Insulated Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HUGECOOL,N/A,N/A,N/A,1000 Square Meter/Square Meters per   Week cold room panel,N/A,N/A,N/A,N/A,Plastic packaged for Walk in Cooler Panels Insulated Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,As per your requirements,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000X1000X20 cm,N/A,-45C to 20C,N/A,N/A,N/A,N/A,N/A,50mm 75mm 100mm 120mm 150mm 180mm 200mm,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fresh-keep, freezing, quick-freezing, fire-proof, explosion-proof,",N/A,N/A,N/A,N/A,N/A,"hinged door, sliding door, standard return door",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Room PU Panel Insulated Calmlock Sandwich Panel for Cold Room,https://www.alibaba.com/product-detail/Cold-Storage-Room-PU-Panel-Insulated_1601279386897.html,2025-02-19 15:11:15,N/A,N/A,N/A,N/A,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom size,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HInged door/Sliding door,N/A,N/A,85.000 kg,N/A,N/A,Customized Length,N/A,HUGECOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Easy to Operate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cam-lock/Plug,"220V, 380V, 440V",10X10X15 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.35KW,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,Color steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room insulation,N/A,"Shandong, China",N/A,960mm 1120mm,B1 /B2 Grade OPTIONAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,0.4-0.6mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200mm,N/A,N/A,N/A,N/A,"Copeland, Bitzer"
