Product Title,Product URL,Date Scraped,Effective width,Surface,Inside material,Supply Ability,Flame Retardant Rating,After-sale Service,Type,Feeding width,Metal Sheet,compressor brand,Thickness,Port,Engineering Solution Capability,Temperature Range,Delivery Time,feature,Color,Polyurethane,Design style,Thickness of Panel,Operate style,Brand Name,Panel Material,Video outgoing-inspection,Advantage,Function,Heat Deflection Temperature,MOQ,Surface material,Stone Name,Gross weight of each item,Steel zinc range,Colors,Packing,Compressive strength,Elongation At Break,voltage,Width,Outer Steel Plate,Door type,Control system,Density of core,Certificate,Tile Type,Door Material,place of origin,Steel thickness,Thermal Conductivity,Warranty,Cover steel,Core density,Aluminum Thickness,Core Thickness,Roller material,Certification,Thermal Penetration Rate,Core material,Rolling thinckness,Machinery Test Report,Connection type,Plate Width,Weight,After-sales Service Provided,Suitable to process,Steel sheet,Outside material,Color:,Selling Units:,Weight (KG),power,temperature Range,video outgoing-inspection,Panel Thickness,STEEL THICKNESS,Opening direction,Features,Percentage Of Close Area,machinery test report,Length,Surface Layer,Package,Product name,Surface Finishing,Single gross weight:,Raw Material,Single package size:,Metal Sheet Thickness,Thickness Of Steel Plate,Water Absorption,Feature,Steel Color,Shape,Guarantee,Outstanding Features,warranty,Thickness Of Wood Plates,Formaldehyde Emission Standards,Structure,dimension(l*w*h),key selling points,Surface Treatment,Frame,Project Solution Capability,Effective Width,Edge,Open Style,Sample,model number,Material,Connection,Samples,Fireproof,Core,Application,Water Absorption Rate,Fireproof Grade,Keywords,Design Style,Dimension(L*W*H),Core Components,eco-friendly,Opening Method,Stone Form,Packaging Details,Density,Shaft material,Thickness of Color Steel,Scope of application,core components,Dimensional Stability,Galvanized layer of steel plates,Key Selling Points,Main Material,Reinforced Material,Voltage,Position,Screen Netting Material,Panel Length,Model Number,Use,Place of Origin,Steel Thinckness,Coating,Dimension,Size,Main Component,Usage,Door Type,Panel thickness,brand name
Hot Selling Fireproof Pu Sandwich Panel Cold Rooms Sandwich Puff Panel Roof Metal Sheet Pu,https://www.alibaba.com/product-detail/Hot-Selling-Fireproof-Pu-Sandwich-Panel_1601018935691.html,2025-02-11 22:46:10,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,Color Coated Steel Sheet / Stainless steel plate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BESINO,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,950mm,N/A,N/A,N/A,35-45kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,50mm 75mm 100mm 120mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Sandwich Panel/PU,N/A,8.130 kg,N/A,100X95X8 cm,N/A,N/A,N/A,N/A,"White, gray, blue, red, etc",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane,Warehouse,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Exterior plate and Inner plate: Aluzinc or Zinc coating,N/A,N/A,N/A,N/A,N/A,N/A,According to customers' request /Customizable,"BESINO-Polyurethane-950,1000",N/A,"Shandong, China",0.3mm-0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Customized Puff Metal Siding Panels Roof Sheet Sandwich Panel,https://www.alibaba.com/product-detail/Customized-Puff-Metal-Siding-Panels-Roof_1600306277701.html,2025-02-11 22:46:22,N/A,N/A,N/A,200000 Meter/Meters per   Month,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement, Other, NONE",Sandwich Panel Movable Wall,N/A,N/A,N/A,50-200mm,"qingdao port,tianjin port",N/A,N/A,N/A,N/A,RAL Color,N/A,N/A,N/A,N/A,CANGLONG,Nonmetal,N/A,Fireproof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EPS Board,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1-11.8m,N/A,N/A,EPS Sandwich Panel,N/A,1.000 kg,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation, NONE, Others",N/A,N/A,N/A,N/A,N/A,Color Steel Sheet,N/A,N/A,N/A,N/A,Mall,N/A,N/A,N/A,Traditional,N/A,N/A,N/A,N/A,N/A,"1.AII of steel columns,beams and plates are maked packaged. 2.All the parts will be filmed by different sides and fixed stablly in the container.3. According to container size, standard export package. Industrial hall steel structure prefab metal warehouse",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,Construction Insulation,N/A,N/A,N/A
interior decorative wall pu culture feather stone 3d wall panel pu stone panels,https://www.alibaba.com/product-detail/interior-decorative-wall-pu-culture-feather_1601076389106.html,2025-02-11 22:46:32,N/A,N/A,N/A,N/A,N/A,"Online technical support, Other",N/A,N/A,N/A,N/A,25mm,N/A,N/A,N/A,N/A,N/A,"white, black, gray, cream, beige, or customized",N/A,N/A,N/A,N/A,BANGTUO,N/A,N/A,N/A,N/A,N/A,100 Piece,N/A,PU feather stone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carton,N/A,N/A,0.500 kg,N/A,30X13X2.5 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"lightweight, fast installation, fireproof, waterproof, strong",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"total solution for projects, Others",N/A,N/A,N/A,Samples Offered Freely,N/A,Polyurethane PU Material,N/A,N/A,B2,N/A,Indoor and outdoor decoration,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,Big Slab,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300*133mm,N/A,"Shandong, China",N/A,N/A,N/A,300*133mm,N/A,N/A,N/A,N/A,N/A
Polyurethane Rock Wool Sandwich Panel Foam Filled Wall Insulated Roof Fiberglass Walls Puff Acc Rock Wool Sandwich Panel,https://www.alibaba.com/product-detail/Polyurethane-Rock-Wool-Sandwich-Panel-Foam_1601190081048.html,2025-02-11 22:47:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Puff Panel Polyurethane Foam PUR PIR PUFF Cold Room Storage Warehouse Insulation Sandwich Panels Eps Sandwich Panel insulated,https://www.alibaba.com/product-detail/Puff-Panel-Polyurethane-Foam-PUR-PIR_1601158821454.html,2025-02-11 22:47:54,N/A,Prepainted,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm 75mm 100mm 120 150mm 200mm,N/A,N/A,N/A,Tianjie,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.022W/mK-0.026W/mK(25℃),1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,-185℃~+110℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Sandwich Panel,N/A,1000.000 kg,N/A,230X100X100 cm,0.4mm~0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",1120 mm   1000mm   1150mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warehouse,less 3%,B1,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,38-45kg per cubic meter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TJpanel-0516,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Customization Sandwich Puff Panel Panel Sandwich Roofing Boards Excellent Fire Insulation Effect,https://www.alibaba.com/product-detail/Customization-Sandwich-Puff-Panel-Panel-Sandwich_1601281054578.html,2025-02-11 22:48:09,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Onsite Inspection",N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A,RAL Color,N/A,N/A,N/A,N/A,BS,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pu,eps,rock wool,glasswool",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1-11.8m,N/A,N/A,Sandwich Panel,N/A,1.000 kg,N/A,2X3X2 cm,N/A,N/A,N/A,water resistant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,N/A,N/A,N/A,N/A,steel,N/A,N/A,N/A,N/A,"Villa, Hotel; warehouse; workshop",N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,10-20kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BS010,N/A,"Liaoning, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/PU-Wholesale-Mushroom-Stone-Wall-Panel_1601260202093.html?selectedCarrierCode=SEMI_MANAGED_ECONOMIC@@ECONOMY,2025-02-11 22:48:19,N/A,NATURAL SURFACE,N/A,N/A,N/A,"Online technical support, Other",N/A,N/A,N/A,N/A,20-60mm,N/A,N/A,N/A,15 Working Days,N/A,"beige, concrete, white, customize color",N/A,N/A,N/A,N/A,rinsun,N/A,N/A,N/A,N/A,N/A,100 m2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ECO, fire proof, water proof, flexible, etc",N/A,N/A,N/A,N/A,WOODEN BOX/PALLETS,N/A,N/A,5.000 kg,N/A,20X30X5 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Others,N/A,N/A,N/A,N/A,N/A,cement concrete board,N/A,AVAILABLE,N/A,N/A,Villa,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,Block,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HOLLOW CIRCLE,N/A,China,N/A,N/A,N/A,N/A,N/A,"FACADE, INTERIOR WALL",N/A,N/A,N/A
Easy Install Polyurethane Puff Sendwich Panel Pu Sandwich Panels For Cold Storage Room Garage Termoacustico,https://www.alibaba.com/product-detail/Easy-Install-Polyurethane-Puff-Sendwich-Panel_1601125563942.html,2025-02-11 22:48:29,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donghong,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,supermarket,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,"Hebei, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZENGTUO specializes in customization sandwich puff panel panel sandwich roofing boards Excellent fire insulation effect,https://www.alibaba.com/product-detail/ZENGTUO-specializes-in-customization-sandwich-puff_1600995911927.html,2025-02-11 22:48:41,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ZENGTUO,metal,N/A,N/A,N/A,N/A,500 Square Meter,Galvanized Steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,950mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU Polyurethane,N/A,N/A,Seamless and seam connection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,0.4-0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,20X20X5 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PPGI + Polyurethane +PPGI,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,N/A,N/A,N/A,N/A,polyrethane,N/A,N/A,B1 Grade,N/A,Exterior Wall,N/A,N/A,N/A,Contemporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aquatic Products and Seafood insulated freezer panels customization pur pu sandwich panels for cold room,https://www.alibaba.com/product-detail/Aquatic-Products-And-Seafood-Insulated-Freezer_1600976727680.html?s=p,2025-02-11 22:48:54,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RAL Color,N/A,N/A,N/A,N/A,Shunwei,metal,N/A,Heat Insulaton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,≥150or200,N/A,N/A,950mm/1000mm/1150mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lifetime,N/A,N/A,N/A,40/50/75/100/120/150/200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,0.3-0.8mm,N/A,N/A,N/A,N/A,0-19m,N/A,N/A,N/A,N/A,1.000 kg,N/A,40X25X25 cm,N/A,N/A,N/A,Fire Resistant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,Color Steel/stainless steel,N/A,N/A,B1 level,N/A,Cold storage,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,N/A,N/A,40-45kg/m3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
